1	Baltic Sea
10	Laptev Sea
11	East Siberian Sea
12	Chukchi Sea
13	Beaufort Sea
14	The Northwestern Passages
14A	Baffin Bay
15	Davis Strait
15A	Labrador Sea
16	Hudson Bay
16A	Hudson Strait
17	Arctic Ocean
17A	Lincoln Sea
18	Inner Seas off the West Coast of Scotland
19	Irish Sea and St. George's Channel
1a	Gulf of Bothnia
1b	Gulf of Finland
1c	Gulf of Riga
2	Kattegat
20	Bristol Channel
21	English Channel
21A	Celtic Sea
22	Bay of Biscay
23	North Atlantic Ocean
24	Gulf of St. Lawrence
25	Bay of Fundy
26	Gulf of Mexico
27	Caribbean Sea
28A	Mediterranean Sea - Western Basin
28B	Mediterranean Sea - Eastern Basin
28a	Strait of Gibraltar
28b	Alboran Sea
28c	Balearic (Iberian Sea)
28d	Ligurian Sea
28e	Tyrrhenian Sea
28f	Ionian Sea
28g	Adriatic Sea
28h	Aegean Sea
29	Sea of Marmara
3	Skagerrak
30	Black Sea
31	Sea of Azov
32	South Atlantic Ocean
33	Rio de La Plata
34	Gulf of Guinea
35	Gulf of Suez
36	Gulf of Aqaba
37	Red Sea
38	Gulf of Aden
39	Arabian Sea
4	North Sea
40	Gulf of Oman
41	Persian Gulf
42	Laccadive Sea
43	Bay of Bengal
44	Andaman or Burma Sea
45	Indian Ocean
45A	Mozambique Channel
46A	Malacca Strait
46B	Singapore Strait
47	Gulf of Thailand
48a	Sulu Sea
48b	Celebes Sea
48c	Molukka Sea
48d	Gulf of Tomini
48e	Halmahera Sea
48f	Ceram Sea
48g	Banda Sea
48h	Arafura Sea
48i	Timor Sea
48j	Flores Sea
48k	Gulf of Boni
48l	Bali Sea
48m	Makassar Strait
48n	Java Sea
48o	Savu Sea
49	South China Sea
5	Greenland Sea
50	Eastern China Sea
51	Yellow Sea
52	Japan Sea
53	Seto Naikai or Inland Sea
54	Sea of Okhotsk
55	Bering Sea
56	Philippine Sea
57	North Pacific Ocean
58	Gulf of Alaska
59	The Coastal Waters of Southeast Alaska and British Columbia
6	Norwegian Sea
60	Gulf of California
61	South Pacific Ocean
62	Great Australian Bight
62A	Bass Strait
63	Tasman Sea
64	Coral Sea
65	Solomon Sea
66	Bismarck Sea
67	Southern Ocean
7	Barentsz Sea
8	White Sea
9	Kara Sea
