id	resolution	upstream	target	note
AD	upstream	iso-3166-1-countries		
AD-02	upstream	iso-3166-2-subdivisions		
AD-03	upstream	iso-3166-2-subdivisions		
AD-04	upstream	iso-3166-2-subdivisions		
AD-05	upstream	iso-3166-2-subdivisions		
AD-06	upstream	iso-3166-2-subdivisions		
AD-07	upstream	iso-3166-2-subdivisions		
AD-08	upstream	iso-3166-2-subdivisions		
AE	upstream	iso-3166-1-countries		
AE-AJ	upstream	iso-3166-2-subdivisions		
AE-AZ	upstream	iso-3166-2-subdivisions		
AE-DU	upstream	iso-3166-2-subdivisions		
AE-FU	upstream	iso-3166-2-subdivisions		
AE-RK	upstream	iso-3166-2-subdivisions		
AE-SH	upstream	iso-3166-2-subdivisions		
AE-UQ	upstream	iso-3166-2-subdivisions		
AF	upstream	iso-3166-1-countries		
AF-BAL	upstream	iso-3166-2-subdivisions		
AF-BAM	upstream	iso-3166-2-subdivisions		
AF-BDG	upstream	iso-3166-2-subdivisions		
AF-BDS	upstream	iso-3166-2-subdivisions		
AF-BGL	upstream	iso-3166-2-subdivisions		
AF-DAY	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AF-FRA	upstream	iso-3166-2-subdivisions		
AF-FYB	upstream	iso-3166-2-subdivisions		
AF-GHA	upstream	iso-3166-2-subdivisions		
AF-GHO	upstream	iso-3166-2-subdivisions		
AF-HEL	upstream	iso-3166-2-subdivisions		
AF-HER	upstream	iso-3166-2-subdivisions		
AF-JOW	upstream	iso-3166-2-subdivisions		
AF-KAB	upstream	iso-3166-2-subdivisions		
AF-KAN	upstream	iso-3166-2-subdivisions		
AF-KAP	upstream	iso-3166-2-subdivisions		
AF-KDZ	upstream	iso-3166-2-subdivisions		
AF-KHO	upstream	iso-3166-2-subdivisions		
AF-KNR	upstream	iso-3166-2-subdivisions		
AF-LAG	upstream	iso-3166-2-subdivisions		
AF-LOG	upstream	iso-3166-2-subdivisions		
AF-NAN	upstream	iso-3166-2-subdivisions		
AF-NIM	upstream	iso-3166-2-subdivisions		
AF-NUR	upstream	iso-3166-2-subdivisions		
AF-PAN	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AF-PAR	upstream	iso-3166-2-subdivisions		
