100	Ashford	District
1000	Maresquel-Ecquemicourt	Commune
10000	Enojada, caleta	Cove
10001	Inca Point	Point
10002	Stella Creek	Stream
10003	Devil Island	Island
10004	Entrance Point	Point
10005	Entrance Shoal	Shoal
10006	Inaccessible Islands	Archipelago
10007	Plough Island	Island
10008	Plenty, Cape	Cape
10009	Surovyj, Cape	Cape
1001	Loison-sur-Créquoise	Commune
10010	King, Cape	Cape
10011	Andersson Island	Island
10012	King Point	Point
10013	Haddon Bay	Bay
10014	Anderssenbukta	Bay
10015	Anderson, Cape	Cape
10016	Curtis Island	Island
10017	Gerlache, Cape	Cape
10018	Wilton Bay	Bay
10019	Wiman, Cape	Cape
1002	Beaurainville	Commune
10020	Wiltshire Rocks	Rock
10021	Wilson, Bahía	Bay
10022	Wilsonberga	Rock
10023	Wilson, Cape	Cape
10024	Andrews Creek	Stream
10025	Andrews Point	Point
10026	Spencer Bluff	Bluff
10027	Andreyev, Cape	Cape
10028	Sansom Islands	Archipelago
10029	Hedgehog Island	Island
1003	Douriez	Commune
10030	Sanjiao Bandao	Peninsula
10031	Gerlache Inlet	Inlet
10032	Flutter Island	Island
10033	Gentoo Cove	Cove
10034	Hunter, Cape	Cape
10035	Paz Cove	Cove
10036	Sommers, punta	Point
10037	Somova, more	Mount
10038	Gonzalez Harbour	Harbour
10039	Sonia Point	Point
1004	Brimeux	Commune
10040	Wideopen Islands	Archipelago
10041	Widdows, Point	Point
10042	Pintado Island	Island
10043	Gonzalez Point	Point
10044	Halcón, islas	Archipelago
10045	Mumm Islands	Archipelago
10046	Wiencke Island	Island
10047	Pingüinera, Rada	Bay
10048	Pinnacle Rock	Rock
10049	Yerbal, cabo	Cape
1005	Saint-Denoeux	Commune
10050	Pinn Island	Island
10051	Launch Channel	Channel
10052	Manczarski Point	Point
10053	Domashnyaya Bank	Bank
10054	Dominguez, cabo	Cape
10055	Wright Point	Point
10056	Smirnova, mys	Cape
10057	Almond Point	Point
10058	Smiggers Island	Island
10059	Smith Bluffs	Bluff
1006	Buire-le-Sec	Commune
10060	Smitch Point	Point
10061	Metchnikoff Point	Point
10062	McClintock Point	Point
10063	Wright Bay	Bay
10064	Wright Inlet	Inlet
10065	Glass Point	Point
10066	Minna Hook	Hill(s)
10067	Wright Island	Island
10068	Calderón, punta	Point
10069	Pyrox Island	Island
1007	Marles-sur-Canche	Commune
10070	Pyroxenite Promontory	Promontory
10071	Renaud Island	Island
10072	Pythia Island	Island
10073	Caliper Cove	Cove
10074	Remolinos, bahía	Bay
10075	Renard, Cape	Cape
10076	Pribylova, zaliv	Bay
10077	Zimmerman Island	Island
10078	Conroy Point	Point
10079	Tangent Island	Island
1008	Marant	Commune
10080	Pré, Baie du	Bay
10081	Dallmann Bay	Bay
10082	Hoyt Head	Headland
10083	Hrabryj, ostrov	Island
10084	Fuente Rock	Rock
10085	Cavalier Rock	Rock
10086	Barlas Channel	Channel
10087	Catwalk, The	Pass
10088	Michelsen Island	Island
10089	Caughley Beach	Beach
1009	Maintenay	Commune
10090	Bridgeman Island	Island
10091	Caution Point	Point
10092	Yaner Dao	Island
10093	Yankee Harbor	Harbour
10094	Factory Cove	Cove
10095	Yomogiri Zima	Island
10096	Simo-kama	Bay
10097	Tange Promontory	Promontory
10098	Crooked Island	Island
10099	Simonova, zaliv	Bay
101	Gillingham	District
1010	Aix-en-Issart	Commune
10100	Simonov, Cape	Cape
10101	Lockroy, Port	Harbour
10102	Alasheyev Bight	Bight
10103	Richards Inlet	Inlet
10104	Richards Cove	Cove
10105	Richard Point	Point
10106	Dixey Rock	Rock
10107	Ricardo, islote	Island
10108	Rhyolite Islands	Archipelago
10109	Rhyolite Head	Headland
1011	Sempy	Commune
10110	Forrester Island	Island
10111	Ferguslie Peninsula	Peninsula
10112	Feoktistov, Cape	Cape
10113	Skuabucht	Bay
10114	Divide, The	Channel
10115	Humble Point	Point
10116	Skua Island	Island
10117	Eyres Bay	Bay
10118	Wood Island	Island
10119	Eyrie Bay	Bay
1012	Lespinoy	Commune
10120	Prioress Island	Island
10121	Lady Newnes Bay	Bay
10122	Atlantic-Indian Basin	Basin
10123	Fizkin Island	Island
10124	Cruz Rock	Rock
10125	Prior Island	Island
10126	Clarkson, Punta	Point
10127	Claro, punta	Point
10128	Claude Point	Point
